equation_id,equation_form,equation_allometry,dependent_variable_biomass_component,independent_variable,allometry_specificity,development_species,geographic_area,dbh_min_cm,dbh_max_cm,sample_size,dbh_units_original,biomass_units_original,allometry_development_method,regression_model,other_equations_tested,log_biomass,bias_corrected,bias_correction_factor,notes_fitting_model,original_data_availability,notes_to_consider,warning,ref_id
NA,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),Whole tree (above stump),DBH,Species,NA,New York,25,550,32,mm,kg,harvest,NA,NA,NA,0,NA,NA,0,Unable to locate orignal publication,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.2784+1.4248*(log10(dbh^2))),Whole tree (above stump),DBH,Species,NA,Ohio,0.5,6.14,40,cm,g,harvest,NA,NA,NA,1,1.015,NA,NA,NA,NA,NA
NA,a+(b*DBH)+c*(DBH^d),3.203+(-0.234*dbh)+0.006*(dbh^2),Whole tree (above stump),DBH,Species,Fraxinus americana,New York,25,550,NA,mm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBA^b),38.111*(dba^2.9),Total aboveground biomass,DBA,Species,NA,Canada,0.18,4.31,21,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= stem basal diameter,Make sure to use shrub function in this package,NA
NA,a*(DBH^b),0.1632*(dbh^2.2454),Total aboveground biomass,DBH,Species,NA,Tennessee,14,43,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(0.8306+2.7308*(log10(dbh^2))),Total aboveground biomass,DBH,Species,NA,Ohio,0.42,8.53,NA,cm,g,harvest,NA,NA,NA,1,1.014,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.1468+2.363*(log10(dbh^2))),Total aboveground biomass,DBH,Species,NA,Ohio,0.24,6.72,NA,cm,g,harvest,NA,NA,NA,1,1.006,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(4.97+2.34*dbh+1*log(dbh)),Stem and branches (live),DBH,Species,NA,New Hampshire,1,9,NA,cm,g,harvest,NA,NA,NA,1,0,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(1.92+1.86*dbh+1*log(dbh)),Foliage total,DBH,Species,NA,New Hampshire,1,9,NA,cm,g,harvest,NA,NA,NA,1,0,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.1981+2.34*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,Ohio,0.37,6.83,NA,cm,g,harvest,NA,NA,NA,1,1.017,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.5647*(dbh^2.6887),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,29,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),2.65743*(dbh^2.43948),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,40.64,NA,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.5509*(dbh^2.7276),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),2.4601*(dbh^2.4572),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),2.1457*(dbh^2.503),Whole tree (above stump),DBH,Species,NA,West Virginia,5.08,40.64,19,in,lb,harvest,linear,a+(b*DBH^2); a+(b*DBH+DBH^2),0,0,NRA,"Although there are more sophisticated statistical procedures, models providing the best R^ -values (or r^) were accepted and are given with their standard errors and standard errors as a percent of the W-means.",NA,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.3069+2.34*(log10(dbh^2))),Total aboveground biomass,DBH,Species,NA,Ohio,0.55,7.76,34,cm,g,harvest,linear,NA,1,1,1.006,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.00005+2.10621*(log10(dbh))),Whole tree (above and belowground),DBH,Species,NA,"North Carolina, Kentucky, Tennessee",30.48,88.9,26,in,lb,harvest,linear,NA,1,0,NRA,NA,0,Unable to locate orignal publication,No specific location of sampled trees is given in publication. Geographic area may be too broad.,NA
NA,a*(DBH^2)^b,4.13741*(dbh^2)^1.08876,Stem and branches (live),DBH,Species,NA,"North Carolina, Georgia",14.22,25.91,9,in,lb,harvest,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.",1,NA,NA,NA
NA,a*(DBH^2)^b,1.04649*(dbh^2)^1.37539,Stem and branches (live),DBH,Species,NA,"North Carolina, Georgia",29.46,41.66,9,in,lb,harvest,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.",1,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.3539+2.7308*(log10(dbh^2))),Whole tree (above stump),DBH,Species,NA,Ohio,0.4,8.49,41,cm,g,harvest,linear,NA,1,1,1.004,NA,NA,NA,Equation built for seedlings and saplings,NA
NA,a*(DBH^b),1.4416*(dbh^2.7324),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.08248*(dbh^2.468),Whole tree (above stump),DBH,Species,NA,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.08248*(dbh^2.468),Whole tree (above stump),DBH,Species,Ulmus americana,North Central States,2.5,40,NA,cm,kg,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.047+2.3852*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,66,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.5893+2.43*log(dbh)),Total aboveground biomass,DBH,Species,NA,Eastern U.S.,1,55,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(2.0865+0.9449*(log10(dbh))),Foliage total,DBH,Genus,NA,Minessota,5,45,NA,in,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.0705+2.441*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,89,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,3.08355*(dbh^2)^1.14915,Total aboveground biomass,DBH,Species,Cornus florida,Southeast U.S.,2.54,12.45,NA,in^2,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,3.08355*(dbh^2)^1.14915,Total aboveground biomass,DBH,Species,NA,Southeast U.S.,2.54,12.45,NA,in^2,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),2.3626*(dbh^2.4798),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.1634*(dbh^2.348),Total aboveground biomass,DBH,Species,NA,Upper Great Lakes,4,32,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),0.1634*(dbh^2.348),Total aboveground biomass,DBH,Species,Fraxinus nigra,Gulf and Atlantic Coastal Plains,4,32,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.0259*(dbh^2.7324),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBA^b),51.996*(dba^2.77),Total aboveground biomass,DBA,Species,Lonicera canadensis,Canada,0.12,0.69,20,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= stem basal diameter,Make sure to use shrub function in this package,NA
NA,a*(DBH^2)^b,1.5416*(dbh^2)^2.7818,Stem and branches (live),DBH,Species,NA,North Carolina,14.48,25.4,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.2831+2.0369*log(dbh)),Total aboveground biomass,DBH,Species,Pinus strobus,Eastern U.S.,1,55,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.2831+2.0369*log(dbh)),Total aboveground biomass,DBH,Species,NA,Eastern U.S.,1,55,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.83+2.464*(log10(dbh))),Total aboveground biomass,DBH,Species,Pinus taeda,North Carolina,3.5,35.6,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.49193*(dbh^2)^2.7727,Stem and branches (live),DBH,Species,NA,Piedmont (Southeastern U.S.),27.94,49.53,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.8082*(dbh^2.6174),Stem and branches (live),DBH,Species,Prunus serotina,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.8082*(dbh^2.6174),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.30252*(dbh^2)^1.6839,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),5.84,25.4,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.23731*(dbh^2)^2.8427,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),27.94,47.75,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.5509*(dbh^2.7276),Stem and branches (live),DBH,Species,Quercus prinus,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,4.13741*(dbh^2)^2.8427,Stem and branches (live),DBH,Species,NA,"North Carolina, Georgia",14.22,25.91,9,in,lb,harvest,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.",1,NA,NA,NA
NA,a*(DBH^2)^b,1.04649*(dbh^2)^2.45446,Stem and branches (live),DBH,Species,NA,North Carolina,29.46,41.66,9,in,lb,harvest,linear_multiple,NRA,1,1,included in model,"Regression equations were developed to predict green and dry weight and volume of wood and bark combined or wood alone. A logarithmic transformation (base 10) was used to obtain a relatively homogeneous variance. The procedure outlined in Draper and Smith (1981) for fitting two linear equations with a known point of intersection was used. To adjust for bias, a correction factor was computed and applied to each model by using Baskerville's (1972) procedure.",1,NA,NA,NA
NA,a*(DBA^b),37.637*(dba^2.779),Total aboveground biomass,DBA,Genus,NA,Idaho/Montana,0.2,1.2,32,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= stem basal diameter,Make sure to use shrub function in this package,NA
NA,a*(DBA^b),43.992*(dba^2.86),Total aboveground biomass,DBA,Species,Rubus idaeus,Idaho/Montana,0.3,0.9,26,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= stem basal diameter,Make sure to use shrub function in this package,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.3539+1.3412*(log10(dbh^2))),Whole tree (above stump),DBH,Species,NA,Ohio,0.4,8.49,41,cm,g,harvest,linear,NA,1,1,1.004,NA,NA,NA,Equation built for seedlings and saplings,NA
NA,a*(DBH^2)^b,2.17565*(dbh^2)^1.2481,Whole tree (above stump),DBH,Genus,NA,Piedmont (Southeastern U.S.),2.54,27.43,NA,in^2,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.04282*(dbh^2)^1.25462,Stem and branches (live),DBH,Genus,NA,Piedmont (Southeastern U.S.),2.54,27.43,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBA^b),29.615*(dba^3.243),Total aboveground biomass,DBA,Species,Virburnum lantanoides,Canada,0.28,1.59,19,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= stem basal diameter,Make sure to use shrub function in this package,NA
NA,10^(a+b*(log10(DBH))),10^(2.1112+2.462*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,New Hampshire,1,63,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.76583*(dbh^2)^1.15849,Whole tree (above stump),DBH,Species,NA,Gulf and Atlantic Coastal Plains,2.54,27.69,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,1.72982*(dbh^2)^1.27422,Whole tree (above stump),DBH,Species,NA,Gulf and Atlantic Coastal Plains,28.45,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-1.236+2.635*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,North Carolina,10.2,55.8,NA,cm,kg,harvest,NA,NA,NA,1,1.008,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.56795*(dbh^2)^1.18685,Total aboveground biomass,DBH,Species,NA,Southeast U.S.,4.06,12.45,NA,in^2,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.83+2.464*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,North Carolina,3.5,35.6,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,1.57573*(dbh^2)^1.29005,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),4.83,23.88,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.51502*(dbh^2)^1.19256,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),24.94,49.53,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.2696+1.3889*(log10(dbh^2))),Total aboveground biomass,DBH,Species,NA,Ohio,0.68,7.49,NA,cm,g,harvest,NA,NA,NA,1,1.012,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),Total aboveground biomass,DBH,Species,Prunus serotina,Ohio,0.37,6.83,NA,cm,g,harvest,NA,NA,NA,1,1.017,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(1.1981+1.5876*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,Ohio,0.37,6.83,NA,cm,g,harvest,NA,NA,NA,1,1.017,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-1.266+2.613*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,North Carolina,7,63,10,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-1.283+2.685*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,North Carolina,15,43.3,NA,cm,kg,harvest,NA,NA,NA,1,1.003,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.30252*(dbh^2)^1.25795,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),5.84,25.4,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.23731*(dbh^2)^1.26394,Whole tree (above stump),DBH,Species,NA,Piedmont (Southeastern U.S.),27.94,47.75,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH))),10^(-1.587+2.91*(log10(dbh))),Total aboveground biomass,DBH,Species,NA,North Carolina,10.6,57.5,NA,cm,kg,harvest,NA,NA,NA,1,1.013,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.9967+2.3944*log(dbh)),Total aboveground biomass,DBH,Species,Quercus rubra,Eastern U.S.,2.5,55,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.9967+2.3944*log(dbh)),Total aboveground biomass,DBH,Species,NA,Eastern U.S.,2.5,55,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^2)^b,2.23*(dbh^2)^1.2153,Total aboveground biomass,DBH,Species,NA,Southeast U.S.,3.3,11.94,NA,in,lb,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-0.34052+2.65803*log(dbh)),Whole tree (above stump),DBH,Species,NA,Rhode Island,7.62,30.48,26,in,kg,harvest,"linear, multiple and stepwise",NA,0,0,NA,"Linear regressions for species were tested for differences in slope and level according to Freese (1967) . Differences were found to be not significant, and data were combined to produce a single regression applicable to all species.",NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.4441+2.4561*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,70,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a+(b*DBH),4.72+(2.17*dbh),Stem and branches (live),DBH,Species,NA,New Hampshire,1.6,10,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(5.67+1.97*dbh+1*log(dbh)),Total aboveground biomass,DBH,Species,Cornus florida,Ohio,1.85,7.25,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,a*(DBH^b),2.4601*(dbh^2.4572),Stem and branches (live),DBH,Species,Quercus rubra,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,a*(DBH^b),1.5647*(dbh^2.6887),Stem and branches (live),DBH,Species,NA,West Virginia,5.08,50.8,NA,in,lb,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,10^(a+b*(log10(DBH^c))),10^(1.3069+1.3593*(log10(dbh^2))),Total aboveground biomass,DBH,Species,NA,Ohio,0.55,7.76,34,cm,g,harvest,linear,NA,1,1,1.006,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.8941+2.4839*log(dbh)),Live crown,DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,31,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.3224+2.2936*log(dbh)),Dead crown,DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,31,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+(b*ln(DBH)))*645.704*1.05,exp(8.5385+(2.2969*log(dbh)))*645.704*1.05,Stem biomass (with bark),DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,31,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,"Wood density=645.704, bark density=1.05",NA,NA
NA,exp(a+b*ln(DBA)),exp(2.025+3.527*log(dba)),Total aboveground biomass,DBA,Species,Arctostaphylos columbiana,Oregon,0.5,2.1,11,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,a+b*BA,51.68+0.02*BA,Total aboveground biomass,DBH,Species,NA,California,NI,NI,NA,cm^2,g,harvest,NA,NA,NA,1,included in model,NA,NA,Basal area (BA)=Diameter of all stems measured 5 cm above ground in a 1x1m plot then sum to obtain basal area,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBA)),exp(3.67+2.847*log(dba)),Total aboveground biomass,DBA,Species,Ceanothus velutinus,Pacific Northwest,0.6,2.5,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter. Used equation for C. velutinus the most common species within the genus,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(-2.5049+1.256*log(dbh)),Total aboveground biomass,DBH,Species,NA,Hawaii,2,16,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.2118+2.4133*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,64,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,Biomass usually measured using crown dimension,NA,NA
NA,exp(a+b*ln(DBH)),exp(3.2304+2.2774*log(dbh)),Live crown,DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(5.1792+2.0374*log(dbh)),Dead crown,DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+(b*ln(DBH)))*419.814*1.22,exp(9.0717+(2.5169*log(dbh)))*419.814*1.22,Stem biomass (with bark),DBH,Species,NA,"Washington, Oregon, N California",1.5,NA,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,"Wood density=419.814, bark density=1.22",NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),Total aboveground biomass,DBH,Mixed hardwood,NA,North America,2.5,56,NA,cm,kg,harvest,NA,NA,NA,1,0.36,NA,NA,Accepted name Myrica californica.,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-10.755+2.7308*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,Pinus ponderosa,Pacific Northwest,24.1,117.7,NA,cm,Mg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*DBH+c*(ln(DBH))),exp(-10.755+2.7308*dbh+1*log(dbh)),Stem biomass (with bark),DBH,Species,NA,Pacific Northwest,24.1,117.7,NA,cm,Mg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(4.9841+2.1858*log(dbh)),Whole tree (above stump),DBH,Species,NA,Oregon,1.4,13.4,NA,cm,g,harvest,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.0705+2.441*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,89,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,Accepted name Quercus wislizeni.,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.48+2.4835*log(dbh)),Total aboveground biomass,DBH,Mixed hardwood,NA,North America,2.5,56,NA,cm,kg,harvest,NA,NA,NA,1,0.36,NA,NA,Acepted name Frangula californica.,NA,NA
NA,exp(a+b*ln(DBA)),exp(3.892+3.122*log(dba)),Total aboveground biomass,DBA,Genus,NA,Rocky Mountains,0.4,1.4,NRA,cm,g,harvest,NA,NA,NA,1,included in model,NA,NA,DBA= Stem basal diameter,Make sure to use shrub function in this package,NA
NA,exp(a+b*ln(DBH)),exp(-2.7765+2.4195*log(dbh)),Total aboveground biomass,DBH,Family,NA,North America,3,614,NA,cm,kg,harvest,NA,NA,NA,1,included in model,NA,NA,NA,NA,NA
NA,exp(a+b*ln(DBH)),exp(-2.1001+2.3996*log(dbh)),Total aboveground biomass,DBH,Species,NA,California,7.6,61,14,cm,kg,harvest,least squares linear,NA,NA,1,0.2497,NA,NA,NA,NA,NA
